2016-05-01 23:39:47 startup archives unpack
2016-05-01 23:39:50 install liberror-perl <none> 0.17-1
2016-05-01 23:39:50 status half-installed liberror-perl 0.17-1
2016-05-01 23:39:50 status triggers-pending man-db 2.6.1-2ubuntu1
2016-05-01 23:39:50 status half-installed liberror-perl 0.17-1
2016-05-01 23:39:50 status unpacked liberror-perl 0.17-1
2016-05-01 23:39:50 status unpacked liberror-perl 0.17-1
2016-05-01 23:39:51 install git-man <none> 1:1.7.9.5-1ubuntu0.3
2016-05-01 23:39:51 status half-installed git-man 1:1.7.9.5-1ubuntu0.3
2016-05-01 23:39:51 status half-installed git-man 1:1.7.9.5-1ubuntu0.3
2016-05-01 23:39:51 status unpacked git-man 1:1.7.9.5-1ubuntu0.3
2016-05-01 23:39:51 status unpacked git-man 1:1.7.9.5-1ubuntu0.3
2016-05-01 23:39:51 install git <none> 1:1.7.9.5-1ubuntu0.3
2016-05-01 23:39:51 status half-installed git 1:1.7.9.5-1ubuntu0.3
2016-05-01 23:39:52 status unpacked git 1:1.7.9.5-1ubuntu0.3
2016-05-01 23:39:52 status unpacked git 1:1.7.9.5-1ubuntu0.3
2016-05-01 23:39:52 trigproc man-db 2.6.1-2ubuntu1 2.6.1-2ubuntu1
2016-05-01 23:39:52 status half-configured man-db 2.6.1-2ubuntu1
2016-05-01 23:39:56 status installed man-db 2.6.1-2ubuntu1
2016-05-01 23:39:57 startup packages configure
2016-05-01 23:39:57 configure liberror-perl 0.17-1 <none>
2016-05-01 23:39:57 status unpacked liberror-perl 0.17-1
2016-05-01 23:39:57 status half-configured liberror-perl 0.17-1
2016-05-01 23:39:57 status installed liberror-perl 0.17-1
2016-05-01 23:39:57 configure git-man 1:1.7.9.5-1ubuntu0.3 <none>
2016-05-01 23:39:57 status unpacked git-man 1:1.7.9.5-1ubuntu0.3
2016-05-01 23:39:57 status half-configured git-man 1:1.7.9.5-1ubuntu0.3
2016-05-01 23:39:57 status installed git-man 1:1.7.9.5-1ubuntu0.3
2016-05-01 23:39:57 configure git 1:1.7.9.5-1ubuntu0.3 <none>
2016-05-01 23:39:57 status unpacked git 1:1.7.9.5-1ubuntu0.3
2016-05-01 23:39:57 status unpacked git 1:1.7.9.5-1ubuntu0.3
2016-05-01 23:39:57 status half-configured git 1:1.7.9.5-1ubuntu0.3
2016-05-01 23:39:57 status installed git 1:1.7.9.5-1ubuntu0.3
